dataset,rows,cols,sample_exponent,copy_PLIs,tiebreaker_heuristic,t_total,t_total_prep,t_read_table,t_create_subtable,t_construct_clusters,t_total_enum_algo,t_sample_diff_sets,t_intersect_clusters,tree_complexity,tree_nodes,diff_sets,diff_sets_initial,diff_sets_final,intersections,intersection_cluster_size,ucc_count,memory
isolet_r7798_c618,7798,400,0.3,1,1,900,1.24542,0.999091,0,0.07215,898.755,2.5351,20.012,4942855,24647215,346655,14439,314924,23954328,795427096,21923881,211456
isolet_r7798_c618,7798,400,0.3,1,1,900.002,1.29253,1.0035,0,0.114193,898.709,2.55176,20.2062,4985608,24918278,345676,14439,314162,24223421,804033299,22178554,211360
uniprot_r539166_c223,539166,20,0.3,1,1,4.28316,4.24226,2.41431,0,0.392886,0.0408985,0.00960965,0.0261559,37,29,14716,14635,4,18,3073524,5,538748
uniprot_r539166_c223,539166,20,0.3,1,1,4.27628,4.24983,2.42331,0,0.389734,0.0264462,0.00956578,0.0132673,17,18,14658,14635,4,13,1180519,5,538764
uniprot_r539166_c223,539166,20,0.3,1,1,4.28909,4.25082,2.42149,0,0.39006,0.0382675,0.00958465,0.0251277,34,27,14692,14635,4,15,3324383,5,538888
uniprot_r539166_c223,539166,20,0.3,1,1,4.25694,4.22523,2.39718,0,0.392738,0.0317047,0.00958106,0.0191812,45,32,14711,14635,4,18,2986765,5,538760
uniprot_r539166_c223,539166,20,0.3,1,1,4.27112,4.23655,2.414,0,0.38926,0.0345614,0.0117625,0.0196971,39,29,14718,14635,4,16,2987721,5,538936
uniprot_r539166_c223,539166,20,0.3,1,1,4.25046,4.21645,2.41049,0,0.384761,0.0340092,0.0097372,0.0212953,28,25,14713,14635,4,16,1916600,5,538608
uniprot_r539166_c223,539166,20,0.3,1,1,4.24199,4.21895,2.3948,0,0.390031,0.0230409,0.00959329,0.0111791,43,28,14663,14635,4,16,2186805,5,538748
uniprot_r539166_c223,539166,20,0.3,1,1,4.25107,4.21797,2.39921,0,0.390173,0.0330976,0.00964853,0.0201816,33,26,14717,14635,4,16,1861517,5,538904
uniprot_r539166_c223,539166,20,0.3,1,1,4.26242,4.24189,2.4092,0,0.391855,0.0205258,0.00950821,0.00875404,29,24,14682,14635,4,17,1118515,5,538900
uniprot_r539166_c223,539166,20,0.3,1,1,4.23915,4.21621,2.38943,0,0.38939,0.022938,0.00958942,0.0111049,31,28,14693,14635,4,15,2191541,5,538820
uniprot_r539166_c223,539166,20,0.3,1,1,4.24674,4.2145,2.38988,0,0.388879,0.0322361,0.00979172,0.0193722,37,29,14689,14635,4,13,1354449,5,538596
uniprot_r539166_c223,539166,20,0.3,1,1,4.20741,4.18365,2.37773,0,0.384745,0.0237648,0.00949684,0.0118525,31,25,14663,14635,4,16,2209131,5,538976
uniprot_r539166_c223,539166,20,0.3,1,1,4.24835,4.2222,2.3969,0,0.389588,0.0261492,0.00977071,0.0141963,23,22,14690,14635,4,14,2050473,5,538648
uniprot_r539166_c223,539166,20,0.3,1,1,4.23618,4.21365,2.39323,0,0.388513,0.0225275,0.00951709,0.0108071,28,22,14665,14635,4,13,2166347,5,538780
uniprot_r539166_c223,539166,20,0.3,1,1,4.25671,4.23497,2.40898,0,0.390767,0.0217396,0.00960849,0.0100692,50,33,14702,14635,4,23,1179774,5,538860
uniprot_r539166_c223,539166,40,0.3,1,1,7.00474,6.91952,4.05507,0,0.606351,0.0852263,0.0431852,0.0373042,221,106,43203,43160,10,93,5281589,41,871324
uniprot_r539166_c223,539166,40,0.3,1,1,7.02374,6.92266,4.03958,0,0.610233,0.101085,0.0437736,0.0508742,267,118,43319,43160,10,86,6227817,41,871280
uniprot_r539166_c223,539166,40,0.3,1,1,6.97916,6.9077,4.03446,0,0.609356,0.0714565,0.0433845,0.0249582,180,105,43252,43160,10,86,3330672,41,871356
uniprot_r539166_c223,539166,40,0.3,1,1,6.97071,6.91273,4.03373,0,0.607581,0.0579816,0.0432784,0.01191,172,99,43245,43160,10,78,1334060,41,871340
uniprot_r539166_c223,539166,40,0.3,1,1,6.97696,6.9086,4.03429,0,0.609756,0.0683598,0.0435937,0.021784,122,97,43226,43160,10,81,2511310,41,871340
uniprot_r539166_c223,539166,40,0.3,1,1,6.96759,6.90999,4.03542,0,0.612203,0.0575983,0.0433077,0.0116283,163,106,43242,43160,10,82,1319790,41,871324
uniprot_r539166_c223,539166,40,0.3,1,1,7.05694,6.961,4.05005,0,0.610472,0.0959435,0.0436285,0.04642,213,104,43227,43160,10,82,5246677,41,871444
uniprot_r539166_c223,539166,40,0.3,1,1,7.03768,6.90273,4.03103,0,0.608207,0.134946,0.0434744,0.0807739,258,119,43261,43160,10,94,6276417,41,871324
uniprot_r539166_c223,539166,40,0.3,1,1,6.9282,6.84048,3.99501,0,0.599663,0.0877202,0.0430481,0.038528,239,112,43248,43160,10,89,3726223,41,871024
uniprot_r539166_c223,539166,40,0.3,1,1,6.98044,6.88978,4.01701,0,0.612956,0.090658,0.0433027,0.0408485,178,93,43223,43160,10,77,4343261,41,871440
uniprot_r539166_c223,539166,40,0.3,1,1,6.95523,6.89686,4.02516,0,0.606798,0.0583751,0.0439102,0.0117107,125,104,43244,43160,10,74,1329494,41,871280
uniprot_r539166_c223,539166,40,0.3,1,1,7.03847,6.94874,4.05456,0,0.611598,0.0897294,0.043677,0.0411579,300,124,43264,43160,10,103,4484870,41,871360
uniprot_r539166_c223,539166,40,0.3,1,1,6.96059,6.90436,4.03142,0,0.608455,0.0562246,0.0434646,0.009918,196,104,43248,43160,10,79,840088,41,871328
