dataset,rows,cols,sample_exponent,copy_PLIs,tiebreaker_heuristic,t_total,t_total_prep,t_read_table,t_create_subtable,t_construct_clusters,t_total_enum_algo,t_sample_diff_sets,t_intersect_clusters,tree_complexity,tree_nodes,diff_sets,diff_sets_initial,diff_sets_final,intersections,intersection_cluster_size,ucc_count,memory
ncvoter_r8060060_c19,8060060,19,0.3,0,1,49.0267,33.1264,22.5306,0,3.07401,15.9003,0.459893,13.5215,731,329,103901,103563,50,306,270421738,96,3876216
ncvoter_r8060060_c19,8060060,19,0.3,0,1,48.6324,32.9999,22.4078,0,3.06662,15.6325,0.460665,13.2792,831,353,103811,103563,50,316,242152301,96,3876148
ncvoter_r8060060_c19,8060060,19,0.3,0,1,49.6589,33.0946,22.4974,0,3.0569,16.5643,0.45876,14.3782,877,369,103829,103563,50,335,252277497,96,3876124
ncvoter_r8060060_c19,8060060,19,0.3,0,1,47.5322,33.1674,22.5636,0,3.06144,14.3649,0.450389,12.8626,740,361,103814,103563,50,327,197445533,96,3875836
ncvoter_r8060060_c19,8060060,19,0.3,0,1,50.8838,33.1819,22.5441,0,3.08747,17.702,0.459628,15.089,839,369,103867,103563,50,320,278864859,96,3875992
ncvoter_r8060060_c19,8060060,19,0.3,0,1,52.0985,33.6876,22.9059,0,3.12642,18.4108,0.460267,15.8533,812,350,103828,103563,50,310,259955628,96,3875856
ncvoter_r8060060_c19,8060060,19,0.3,0,1,53.8743,33.5579,22.797,0,3.12459,20.3164,0.467688,18.0216,849,376,103888,103563,50,340,265757977,96,3876220
ncvoter_r8060060_c19,8060060,19,0.3,0,1,46.232,33.589,22.8179,0,3.12076,12.643,0.466235,11.1427,753,351,103811,103563,50,313,184423732,96,3875792
ncvoter_r8060060_c19,8060060,19,0.3,0,1,52.302,33.6532,22.8556,0,3.13982,18.6487,0.463934,16.6344,847,360,103835,103563,50,335,237614225,96,3876028
ncvoter_r8060060_c19,8060060,19,0.3,0,1,53.2965,33.7055,22.9555,0,3.11883,19.591,0.46121,17.1586,885,379,103834,103563,50,349,237590852,96,3875992
ncvoter_r8060060_c19,8060060,19,0.3,0,1,58.1884,33.6229,22.8369,0,3.13444,24.5654,0.464606,21.1259,873,341,103906,103563,50,307,337249986,96,3876116
ncvoter_r8060060_c19,8060060,19,0.3,0,1,49.3424,33.5879,22.8195,0,3.12726,15.7545,0.467586,13.3805,667,323,103819,103563,50,300,232558907,96,3876060
ncvoter_r8060060_c19,8060060,19,0.3,0,1,47.415,33.646,22.8911,0,3.12111,13.7691,0.466224,12.3058,788,359,103856,103563,50,323,194518592,96,3876120
ncvoter_r8060060_c19,8060060,19,0.3,0,1,49.9605,33.5532,22.8097,0,3.11664,16.4074,0.466004,13.8651,690,326,103842,103563,50,304,246429497,96,3876148
ncvoter_r8060060_c19,8060060,19,0.3,0,1,51.9547,33.6222,22.8464,0,3.12791,18.3326,0.466957,16.0365,865,366,103840,103563,50,329,227343431,96,3876216
ncvoter_r8060060_c19,8060060,19,0.3,0,1,47.8561,33.1302,22.5409,0,3.06278,14.7259,0.453441,12.7981,975,391,103830,103563,50,340,241180949,96,3875992
ncvoter_r8060060_c19,8060060,19,0.3,0,1,50.8097,33.5987,22.8249,0,3.13052,17.211,0.470535,15.4539,847,376,103872,103563,50,330,226819378,96,3876100
ncvoter_r8060060_c19,8060060,19,0.3,0,1,49.7869,33.6148,22.8469,0,3.12053,16.1721,0.464109,13.5901,772,349,103858,103563,50,323,238478503,96,3876116
ncvoter_r8060060_c19,8060060,19,0.3,0,1,51.5104,33.5729,22.8128,0,3.12326,17.9375,0.461155,16.02,822,367,103830,103563,50,334,230258905,96,3875796
ncvoter_r8060060_c19,8060060,19,0.3,0,1,54.3415,33.6008,22.8463,0,3.11678,20.7407,0.465274,17.8488,721,342,103873,103563,50,320,303133073,96,3876076
ncvoter_r8060060_c19,8060060,19,0.3,0,1,47.0936,33.5987,22.8232,0,3.1314,13.4949,0.459098,12.0664,871,379,103805,103563,50,330,194175912,96,3876152
ncvoter_r8060060_c19,8060060,19,0.3,1,0,53.0844,35.3336,22.8546,0,3.37006,17.7508,0.0942965,16.4022,958,367,103865,103563,50,324,342539713,96,4225684
