dataset,rows,cols,sample_exponent,copy_PLIs,tiebreaker_heuristic,t_total,t_total_prep,t_read_table,t_create_subtable,t_construct_clusters,t_total_enum_algo,t_sample_diff_sets,t_intersect_clusters,tree_complexity,tree_nodes,diff_sets,diff_sets_initial,diff_sets_final,intersections,intersection_cluster_size,ucc_count,memory
census_r196295_c42,196295,42,0.6,1,1,27.1152,0.427407,0.383188,0,0.0333194,26.6878,26.6759,0.00841717,810,244,41606062,41605977,29,235,326929,80,159924
census_r196295_c42,196295,42,0.6,1,1,26.9162,0.427203,0.385578,0,0.0315239,26.489,26.4751,0.0100528,949,254,41606055,41605977,29,249,399278,80,159804
census_r196295_c42,196295,42,0.6,1,1,27.0559,0.418538,0.377417,0,0.0312409,26.6374,26.6258,0.00817219,1100,264,41606072,41605977,29,249,326693,80,159704
census_r196295_c42,196295,42,0.6,1,1,27.0415,0.425739,0.384424,0,0.031316,26.6157,26.6013,0.0105579,978,254,41606070,41605977,29,247,405417,80,159792
hepatitis_r155_c20,155,20,0,1,1,0.002273,0.000700688,0.000627517,0,5.7421e-05,0.00157204,0.00016181,0.00051238,714,689,105,20,54,634,8037,348,7412
hepatitis_r155_c20,155,20,0,1,1,0.000768836,0.000171429,0.00014786,0,1.8174e-05,0.000597335,6.2998e-05,0.00023338,640,695,108,20,54,639,11519,348,7772
hepatitis_r155_c20,155,20,0,1,1,0.000725796,0.000167038,0.00014314,0,1.8357e-05,0.000558671,5.4591e-05,0.00020503,682,687,102,20,54,622,9699,348,7692
hepatitis_r155_c20,155,20,0,1,1,0.000724489,0.000199294,0.000175657,0,1.8245e-05,0.000525112,5.5178e-05,0.000181309,575,677,103,20,54,635,8481,348,7564
hepatitis_r155_c20,155,20,0,1,1,0.000742062,0.000166619,0.000143185,0,1.8064e-05,0.000575366,6.0358e-05,0.000210485,690,698,108,20,54,621,10557,348,7564
hepatitis_r155_c20,155,20,0.1,1,1,0.000662947,0.00016753,0.000143824,0,1.8218e-05,0.000495336,6.1274e-05,0.000155429,641,657,109,41,54,607,7295,348,7872
hepatitis_r155_c20,155,20,0.1,1,1,0.000755677,0.000166185,0.000143039,0,1.7839e-05,0.000589409,6.6597e-05,0.000222643,692,684,124,41,54,635,10515,348,7520
hepatitis_r155_c20,155,20,0.1,1,1,0.000810587,0.000182832,0.000157587,0,1.9483e-05,0.00062767,7.6368e-05,0.000231686,623,683,132,41,54,634,10461,348,7892
hepatitis_r155_c20,155,20,0.1,1,1,0.000736312,0.000182693,0.000157612,0,1.9386e-05,0.000553539,6.5633e-05,0.000185473,629,656,115,41,54,605,8010,348,7812
hepatitis_r155_c20,155,20,0.1,1,1,0.000699728,0.000177424,0.000152412,0,1.9192e-05,0.000522216,6.6155e-05,0.000171269,522,626,118,41,54,590,7449,348,7520
hepatitis_r155_c20,155,20,0.2,1,1,0.000749215,0.000177804,0.000152876,0,1.9304e-05,0.000571318,8.8481e-05,0.000180257,630,653,187,107,54,595,7851,348,7676
hepatitis_r155_c20,155,20,0.2,1,1,0.000784357,0.000178188,0.000152973,0,1.9592e-05,0.000606076,8.6591e-05,0.00019608,681,694,190,107,54,635,8679,348,7484
hepatitis_r155_c20,155,20,0.2,1,1,0.000708796,0.000178406,0.00015325,0,1.9378e-05,0.000530305,8.5223e-05,0.000161149,552,634,180,107,54,588,6964,348,7748
hepatitis_r155_c20,155,20,0.2,1,1,0.000712047,0.000177939,0.000152818,0,1.94e-05,0.000534009,8.1573e-05,0.000165251,595,629,170,107,54,589,7164,348,7748
hepatitis_r155_c20,155,20,0.2,1,1,0.000766099,0.000177291,0.000152725,0,1.8919e-05,0.000588721,9.2712e-05,0.000178716,694,682,196,107,54,620,7544,348,7808
hepatitis_r155_c20,155,20,0.3,1,1,0.000765048,0.00017767,0.000152677,0,1.9273e-05,0.000587284,0.000123329,0.000166313,664,651,317,244,54,618,7168,348,7840
hepatitis_r155_c20,155,20,0.3,1,1,0.000764299,0.000178206,0.000153161,0,1.9378e-05,0.000585995,0.000132306,0.000161304,605,640,327,244,54,592,6816,348,7880
hepatitis_r155_c20,155,20,0.3,1,1,0.00080145,0.000178767,0.000153474,0,1.9473e-05,0.000622581,0.000126689,0.000187645,721,655,327,244,54,611,8472,348,7524
hepatitis_r155_c20,155,20,0.3,1,1,0.000920677,0.000250822,0.000225643,0,1.9357e-05,0.000669745,0.00013161,0.000207994,820,685,325,244,54,642,9204,348,7812
hepatitis_r155_c20,155,20,0.3,1,1,0.000805113,0.000182123,0.000156038,0,2.0089e-05,0.000622891,0.000121813,0.000179182,774,685,317,244,54,636,7941,348,7764
hepatitis_r155_c20,155,20,0.4,1,1,0.000856441,0.000178603,0.000153208,0,1.9752e-05,0.00067773,0.000213723,0.000162321,692,640,653,569,54,598,6871,348,7924
hepatitis_r155_c20,155,20,0.4,1,1,0.000766146,0.00017852,0.000153657,0,1.9207e-05,0.000587537,0.000205421,0.000122537,514,597,630,569,54,572,5080,348,7748
hepatitis_r155_c20,155,20,0.4,1,1,0.000730143,0.000181428,0.000156571,0,1.902e-05,0.000548613,0.000193654,0.00010076,435,594,624,569,54,549,4087,348,7760
hepatitis_r155_c20,155,20,0.4,1,1,0.000815429,0.000179328,0.000153867,0,1.9713e-05,0.000636006,0.000209131,0.000146071,644,625,636,569,54,576,6467,348,7848
hepatitis_r155_c20,155,20,0.4,1,1,0.000934767,0.000178545,0.000153188,0,1.9626e-05,0.000756117,0.000217384,0.000159947,707,649,650,569,54,604,7011,348,7848
hepatitis_r155_c20,155,20,0.5,1,1,0.000968449,0.000177331,0.000152313,0,1.9309e-05,0.000791035,0.000412499,0.000117189,520,581,1400,1353,54,559,4941,348,7956
hepatitis_r155_c20,155,20,0.5,1,1,0.00101845,0.000177824,0.000152779,0,1.9364e-05,0.000840519,0.000418865,0.000107927,502,577,1408,1353,54,543,4472,348,7876
hepatitis_r155_c20,155,20,0.5,1,1,0.0010151,0.000178116,0.000152948,0,1.9402e-05,0.000836885,0.000484467,0.000104472,423,590,1407,1353,54,558,4257,348,7868
hepatitis_r155_c20,155,20,0.5,1,1,0.000928371,0.000180114,0.000155109,0,1.9114e-05,0.00074816,0.00039845,0.000102799,485,561,1395,1353,54,539,4295,348,7964
hepatitis_r155_c20,155,20,0.5,1,1,0.00107759,0.000178336,0.000153005,0,1.9543e-05,0.000899153,0.000436951,0.00015221,773,651,1433,1353,54,589,6506,348,7748
hepatitis_r155_c20,155,20,0.6,1,1,0.00150096,0.000257723,0.000231976,0,1.9886e-05,0.00124315,0.000897466,9.9034e-05,558,573,3257,3219,54,541,4099,348,7900
hepatitis_r155_c20,155,20,0.6,1,1,0.00141727,0.000181421,0.000156603,0,1.9044e-05,0.00123576,0.000898535,9.5038e-05,480,570,3260,3219,54,542,3862,348,7852
hepatitis_r155_c20,155,20,0.6,1,1,0.00142904,0.000178459,0.000153225,0,1.9396e-05,0.00125048,0.000900487,0.000106101,539,560,3254,3219,54,538,4486,348,7964
hepatitis_r155_c20,155,20,0.6,1,1,0.00141612,0.000178728,0.000153624,0,1.9361e-05,0.00123729,0.000901083,9.5956e-05,506,551,3254,3219,54,528,3903,348,7956
hepatitis_r155_c20,155,20,0.6,1,1,0.00142394,0.000179529,0.000154482,0,1.9336e-05,0.00124432,0.000899228,9.3334e-05,504,571,3262,3219,54,542,3704,348,7768
struct_sheet_range_r664128_c32,664128,32,0,1,1,4.69083,4.00526,2.31239,0,0.444993,0.685575,0.0118557,0.648675,82,233,42,31,6,219,41852511,167,623036
struct_sheet_range_r664128_c32,664128,32,0,1,1,4.42748,3.96084,2.26442,0,0.445938,0.466644,0.0106228,0.421978,106,246,41,31,6,217,27893503,167,623032
struct_sheet_range_r664128_c32,664128,32,0,1,1,4.62173,3.94861,2.25356,0,0.444694,0.673115,0.0103241,0.626716,98,247,39,31,6,217,41521367,167,622784
struct_sheet_range_r664128_c32,664128,32,0,1,1,4.63141,3.96658,2.27037,0,0.446282,0.664832,0.0104338,0.617449,94,242,43,31,6,218,41430963,167,622936
struct_sheet_range_r664128_c32,664128,32,0,1,1,4.50945,3.96399,2.26625,0,0.450194,0.545461,0.00959164,0.504917,87,231,39,31,6,216,34713045,167,623032
