dataset,rows,cols,hyucc_t_total_ms,hyucc_memory,hyucc_ucc_count,hyucc_t_safepoint_ns
ncvoter_allc_r7503554_c94,100000,50,3863,513272,1,57321352
ncvoter_allc_r7503554_c94,100000,50,3823,512864,1,58075813
ncvoter_allc_r7503554_c94,100000,50,4289,511840,1,57000082
ncvoter_allc_r7503554_c94,100000,60,49371,3599880,3940,115253497
ncvoter_allc_r7503554_c94,100000,60,49457,3602792,3940,114247170
ncvoter_allc_r7503554_c94,100000,60,50833,3600176,3940,116501764
ncvoter_allc_r7503554_c94,100000,60,48991,3607076,3940,115475774
ncvoter_allc_r7503554_c94,100000,60,50042,3601964,3940,114626823
ncvoter_allc_r7503554_c94,100000,70,96729,5722308,8095,235699627
ncvoter_allc_r7503554_c94,100000,70,93840,5400396,8095,236718229
ncvoter_allc_r7503554_c94,100000,70,93168,5131184,8095,242770213
ncvoter_allc_r7503554_c94,100000,70,92650,5084364,8095,249024883
ncvoter_allc_r7503554_c94,100000,70,97995,5451868,8095,242492630
ncvoter_allc_r7503554_c94,100000,80,100142,5047780,8095,350680916
ncvoter_allc_r7503554_c94,100000,80,100477,5000392,8095,363178188
ncvoter_allc_r7503554_c94,100000,80,101036,5255340,8095,350591265
ncvoter_allc_r7503554_c94,100000,80,100037,5218832,8095,362733221
ncvoter_allc_r7503554_c94,100000,80,96791,4782300,8095,355083363
ncvoter_allc_r7503554_c94,100000,90,114262,6646968,9277,361996378
ncvoter_allc_r7503554_c94,100000,90,111205,8302924,9277,352129957
ncvoter_allc_r7503554_c94,100000,90,114446,6667304,9277,345774341
ncvoter_allc_r7503554_c94,100000,90,114769,6738816,9277,340543817
ncvoter_allc_r7503554_c94,100000,90,110405,8436028,9277,345644961
ncvoter_allc_r7503554_c94,7503554,10,35276,4414548,2,1879033644
ncvoter_allc_r7503554_c94,7503554,10,35121,4484724,2,1929147967
ncvoter_allc_r7503554_c94,7503554,10,34774,4445436,2,1789184152
ncvoter_allc_r7503554_c94,7503554,10,34418,4439332,2,1883955795
ncvoter_allc_r7503554_c94,7503554,10,35117,4312356,2,1771726081
ncvoter_allc_r7503554_c94,7503554,15,48955,7193096,14,6753189677
ncvoter_allc_r7503554_c94,7503554,15,49647,8203692,14,7694578111
ncvoter_allc_r7503554_c94,7503554,15,48871,7536980,14,7067386463
ncvoter_allc_r7503554_c94,7503554,15,49471,8200728,14,7523159591
ncvoter_allc_r7503554_c94,7503554,15,48708,7535560,14,7214990182
ncvoter_allc_r7503554_c94,7503554,20,105681,9170056,33,9268855995
ncvoter_allc_r7503554_c94,7503554,20,107041,9268328,33,8780989174
ncvoter_allc_r7503554_c94,7503554,20,103917,9927992,33,8024348173
ncvoter_allc_r7503554_c94,7503554,20,106492,9688916,33,10465144949
ncvoter_allc_r7503554_c94,7503554,20,107032,9643424,33,10446177802
ncvoter_allc_r7503554_c94,7503554,25,142279,10361576,56,9851805670
ncvoter_allc_r7503554_c94,7503554,25,141882,10103724,56,10252119155
ncvoter_allc_r7503554_c94,7503554,25,141312,9080816,56,9757407923
ncvoter_allc_r7503554_c94,7503554,25,144324,10363204,56,9967489101
ncvoter_allc_r7503554_c94,7503554,25,138893,10540020,56,7786956987
ncvoter_allc_r7503554_c94,7503554,30,483643,12934904,127,12206412367
ncvoter_allc_r7503554_c94,7503554,30,491702,13234908,127,11702333325
ncvoter_allc_r7503554_c94,7503554,30,482280,11208456,127,11868314568
ncvoter_allc_r7503554_c94,7503554,30,486650,12984668,127,18699240471
ncvoter_allc_r7503554_c94,7503554,30,489337,12400568,127,13744337972
ncvoter_allc_r7503554_c94,7503554,35,550802,14109252,166,13492718263
ncvoter_allc_r7503554_c94,7503554,35,597582,13512232,166,15585478093
ncvoter_allc_r7503554_c94,7503554,35,539652,12428916,166,12271878904
ncvoter_allc_r7503554_c94,7503554,35,546328,12757408,166,11975812969
ncvoter_allc_r7503554_c94,7503554,35,562313,14482996,166,13898949892
ncvoter_allc_r7503554_c94,7503554,40,900600,14918476,403,17488812995
ncvoter_allc_r7503554_c94,7503554,40,922936,15923896,403,20821705926
ncvoter_allc_r7503554_c94,7503554,40,923729,12993228,403,16996674700
ncvoter_allc_r7503554_c94,7503554,40,943769,12882736,403,16305692472
ncvoter_allc_r7503554_c94,7503554,40,923550,13015256,403,16924398378
VTTS_r13042057_c75,1000000,75,31499,4050660,2,488369031
VTTS_r13042057_c75,1000000,75,30938,4060628,2,468287768
VTTS_r13042057_c75,1000000,75,25679,4046140,2,476780545
VTTS_r13042057_c75,1000000,75,31622,4048048,2,475273807
VTTS_r13042057_c75,1000000,75,25682,4069068,2,478124194
VTTS_r13042057_c75,2000000,75,49408,6764056,2,896317809
VTTS_r13042057_c75,2000000,75,62293,6889424,2,1103942194
VTTS_r13042057_c75,2000000,75,60977,6899648,2,1127675984
VTTS_r13042057_c75,2000000,75,61004,6764524,2,888431253
VTTS_r13042057_c75,2000000,75,49789,6893076,2,1127556897
VTTS_r13042057_c75,3000000,75,95283,9053404,2,1747554597
VTTS_r13042057_c75,3000000,75,95900,9102696,2,1738423598
VTTS_r13042057_c75,3000000,75,78875,9069924,2,1467999202
VTTS_r13042057_c75,3000000,75,79421,9105400,2,1503740063
VTTS_r13042057_c75,3000000,75,94896,9055804,2,1736991316
VTTS_r13042057_c75,4000000,75,134093,10463068,2,2094240952
VTTS_r13042057_c75,4000000,75,106447,10488512,2,2098566266
VTTS_r13042057_c75,4000000,75,133017,10444904,2,2105835131
